RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
168,0,50474,Tim Widing,53.82%,148,275
169,-10,46601,Trey Mullinax,53.69%,182,339
170,0,63343,Aldrich Potgieter,53.56%,188,351
171,-4,46646,Antoine Rozner,53.31%,193,362
172,-3,23320,Ryan Palmer,53.27%,179,336
173,-2,48153,Matthieu Pavon,53.24%,255,479
174,-1,52686,Rasmus Højgaard,52.91%,209,395
175,-3,39859,Cristobal Del Solar,52.78%,218,413
176,-2,40006,Erik van Rooyen,51.97%,211,406
177,-2,35706,Niklas Norgaard,49.08%,134,273
